col,row,status,designation,tag,stemtag,sp,quadrat,biannual,intraannual,cored,treeID,stemID,dendro.start.year,dendro.start.month,dendro.start.day,record.quality,DBH.2018,approx.circ.growth.2021,mort.status,crown.illum,avoid,notes,band notes
,,INSTALLED,CACO- canopy,60588,1,caco,615,1,1,0,7567,7567,2013,June,3,excellent,30.5,,A,2,,crown illum listed  like 2,
,,avoid,CACO - canopy,80401,1,caco,807,1,0,0,9477,9477,2010,January,27,,48,,AU,3,,"wound (level 2) as FAD, 100% crown intact",
,,INSTALLED,CAGL-large,92393,1,cagl,925,1,0,0,11540,11540,2011,March,24,biannual only,62,8,A,4,,,
,,not needed,CAGL-large,112350,1,cagl,1126,1,0,0,15063,15063,2011,March,24,biannual only,61,10,A,3,,,
,,INSTALLED,CAOVL - large ,80554,1,caovl,813,1,1,1,9630,9630,2010,January,27,,52.9,22,A,3,,,
,,not needed,CAOVL - medium canopy,121301,1,caovl,1211,1,1,1,16396,16396,2011,March,24,,25.2,6,A,3,,,
,,not needed,CAOVL - large ,192133,1,caovl,1923,1,1,0,28553,28553,2011,March,24,,57,7,A,3,,,
6,4,APPROVED,CATO - canopy,60266,1,cato,604,1,0,0,7262,7262,2019,February,21,,49.5,,A,3,,,currently biannual
,,INSTALLED,FAGR - med/large - understory,40563,1,fagr,406,1,1,1,5040,5040,2013,June,3,excellent,36.5,20,A,1,,"2nd-largest beech with biweekly dendro band, also cored",
,,not needed,FAGR,60458,1,fagr,615,1,1,0,7443,7443,2013,June,3,excellent,27,10,AU,4- must be error,,"FAD: W, R",
,,not needed,FAGR - med - understory,60462,1,fagr,615,1,1,0,7447,7447,2013,June,3,excellent,24,12,A,1,,,
,,not needed,FAGR,40568,1,fagr,406,1,1,0,5045,5045,2013,June,3,,20,,,,,,
,,not needed,FAGR,60566,1,fagr,614,1,1,0,7545,7545,2013,June,3,,19.4,,,,,,
,,not needed,FAGR,60459,1,fagr,615,1,1,0,7444,7444,2013,June,3,fair,10,,,,,,
,,not needed,FAGR,40567,1,fagr,406,1,1,0,5044,5044,2013,June,3,,9.3,,,,,,
,,not needed,FAGR,40562,1,fagr,406,1,1,0,5039,5039,2013,June,3,,8.6,,,,,,
,,not needed,FAGR,30234,1,fagr,306,1,1,0,3875,3875,2013,June,3,good,8.1,,,,,,
,,not needed,FAGR,60562,1,fagr,614,1,1,0,7541,7541,2013,June,3,very good,7,,AU/DS,,1,avoid- unhealthy (or dead),
,,not needed,FAGR,40564,1,fagr,406,1,1,0,5041,5041,2013,June,3,,5.7,,,,,,
